id;value_string;value_big_decimal;value_boolean;created_by;created_date;last_modified_by;last_modified_date
1;provided till circa;9506.34;false;card yippee;2025-01-21T19:50:33;subtle deserted;2025-01-22T04:16:24
2;sarcastic;7533.05;false;concerning lost;2025-01-22T00:05:45;responsible indeed moisten;2025-01-22T01:07:27
3;er chubby;21766.61;false;ugh but hmph;2025-01-22T03:03:32;rudely bruised;2025-01-22T00:42:56
4;fast tankful;11927.55;false;which molasses greatly;2025-01-21T15:11:10;dishearten;2025-01-22T10:41:28
5;doubtfully ill-fated now;27395.77;false;er with;2025-01-22T04:30:48;unabashedly interchange;2025-01-22T05:28:36
6;once knavishly sinful;12012.23;true;busily;2025-01-22T07:51:46;please truly sleepily;2025-01-21T12:44:35
7;calmly amongst;25451.16;true;hateful impractical;2025-01-22T00:41:04;foolishly;2025-01-21T12:01:31
8;neatly;11561.14;true;indeed woot;2025-01-21T21:37:28;once for including;2025-01-21T22:38:49
9;instead finally mean;26910.73;true;toward nimble;2025-01-21T20:47:48;whoever above;2025-01-21T23:36:39
10;miscalculate while shimmering;31405.95;true;feline toward;2025-01-22T03:23:45;carpool when;2025-01-22T04:42:33
