id;name;description;created_by;created_date;last_modified_by;last_modified_date
1;beard lustrous;concerned astride armoire;warmly around;2025-01-22T11:05:04;once;2025-01-21T16:04:41
2;ah;per yippee monasticism;flight;2025-01-22T00:03:53;joyously;2025-01-22T03:41:41
3;compromise dreamily;consequently;canter;2025-01-22T04:39:46;glisten;2025-01-21T21:43:42
4;for whereas;bashfully;recklessly;2025-01-21T11:53:27;especially shallow till;2025-01-22T06:11:38
5;quart;waterspout;materialise sundae;2025-01-22T01:18:17;oof;2025-01-22T08:45:06
6;mosh blue;potentially;unaccountably;2025-01-21T15:29:01;powerful;2025-01-22T01:06:50
7;between;safely easy quicker;hence partially;2025-01-21T12:16:59;petty;2025-01-22T04:57:24
8;gah unless;legging;orchestrate scrap;2025-01-22T08:53:26;huzzah;2025-01-22T01:53:59
9;zesty;loosely bliss mmm;adaptation plus;2025-01-21T16:13:14;sans meatloaf oof;2025-01-21T12:41:01
10;sudden phooey indeed;mystify in populist;holster so fisherman;2025-01-22T01:11:43;supposing pish;2025-01-22T02:21:53
