id;name;price;location;created_by;created_date;last_modified_by;last_modified_date
1;zowie gah;12829.8;indeed blowgun;vacantly wide-eyed intelligent;2025-01-22T06:25:26;hmph usually gape;2025-01-21T18:30:45
2;viciously shyly feminize;6217.84;gripper enthusiastically;boohoo;2025-01-21T23:16:10;regularly portray;2025-01-22T02:47:46
3;till outside shoddy;6443.77;so deduction;badly;2025-01-22T09:35:13;excepting heavily;2025-01-22T03:04:23
4;unnecessarily yippee yet;28384.98;remand;righteously;2025-01-22T10:29:36;boo aw spork;2025-01-21T13:55:34
5;criminal readily whose;2312.2;um pinion;faithfully reluctantly quit;2025-01-22T00:26:48;without;2025-01-21T20:50:36
6;ugh progress;8041.63;ignorance;till yum fervently;2025-01-21T22:05:39;lest;2025-01-22T04:31:01
7;or meaningfully ack;1333.83;fictionalize illustrious;who broken electrify;2025-01-21T13:59:52;lively neglect kiddingly;2025-01-21T14:50:15
8;pause;31677.14;gymnast symbolise;ouch;2025-01-22T05:31:21;vibraphone uh-huh;2025-01-21T16:33:48
9;which pop;30574.67;toward;chromakey;2025-01-22T04:18:03;rich gadzooks;2025-01-21T19:20:52
10;recklessly;21966.36;while inquisitively blah;questionably;2025-01-21T13:02:45;unfit;2025-01-21T14:50:26
